Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
44922.2197339,261603.84375,268292.5625,278100.59375,263716.4375,245492.796875,166688.953125,254820.984375,229209.546875,-0.21044921875,0.947265625,-0.1787109375,0.1220703050494194,-0.8850097060203552,0.1220703050494194,80.0,836611.0,1.0
44922.2261071,261118.71875,267009.03125,277085.46875,261947.34375,244393.53125,166097.25,254671.859375,228070.78125,-0.21240234375,0.946044921875,-0.178955078125,0.0,-0.8850097060203552,0.1525878757238388,80.0,836612.0,1.0
44922.230437,261598.390625,268237.125,277883.25,262983.40625,245422.609375,166623.40625,255007.40625,228588.265625,-0.2109375,0.945068359375,-0.18017578125,0.0610351525247097,-0.9155272841453552,0.1831054538488388,80.0,836613.0,1.0
44922.2304786,262372.84375,270272.46875,279390.03125,265384.34375,247156.390625,167536.078125,255365.296875,230038.0,-0.21142578125,0.945068359375,-0.18212890625,0.0610351525247097,-0.7629393935203552,0.0915527269244194,80.0,836614.0,1.0
44922.2423092,262384.8125,270335.0625,279545.3125,265875.8125,247232.5625,167585.515625,255257.734375,230450.875,-0.210693359375,0.945556640625,-0.183837890625,0.0,-0.8239745497703552,0.0610351525247097,80.0,836615.0,1.0
44922.2451875,261596.609375,268298.71875,278101.9375,263712.6875,245492.890625,166682.328125,254820.53125,229205.609375,-0.211669921875,0.946533203125,-0.180419921875,0.0,-0.8850097060203552,0.0915527269244194,80.0,836616.0,1.0
44922.2452333,261113.71875,267019.0625,277090.5625,261945.5625,244392.375,166097.515625,254677.21875,228071.21875,-0.21142578125,0.94677734375,-0.179931640625,-0.0610351525247097,-0.8544921278953552,0.0915527269244194,80.0,836617.0,1.0
44922.2472277,261593.03125,268239.1875,277888.78125,262984.125,245420.5625,166626.265625,255011.875,228597.5625,-0.212158203125,0.947021484375,-0.177490234375,-0.1220703050494194,-0.7934569716453552,0.1525878757238388,80.0,836618.0,1.0
44922.2497304,262375.78125,270274.71875,279396.1875,265386.375,247153.625,167533.75,255364.484375,230048.640625,-0.214111328125,0.94775390625,-0.179931640625,-0.2136230319738388,-0.7934569716453552,0.1220703050494194,80.0,836619.0,1.0
44922.2584983,262396.0,270343.1875,279555.78125,265881.4375,247235.609375,167592.046875,255259.96875,230460.890625,-0.212646484375,0.9482421875,-0.178955078125,-0.2746581733226776,-0.7629393935203552,0.1831054538488388,80.0,836620.0,1.0
44922.2654107,261612.96875,268310.4375,278119.5625,263730.40625,245506.921875,166699.765625,254830.015625,229221.4375,-0.216064453125,0.946044921875,-0.18017578125,-0.4577636420726776,-0.8239745497703552,0.2441406100988388,80.0,836621.0,1.0
44922.2654559,261125.25,267020.9375,277100.75,261958.96875,244400.0625,166108.78125,254680.078125,228084.0,-0.217529296875,0.94580078125,-0.177490234375,-0.3967284858226776,-0.9155272841453552,0.2441406100988388,80.0,836622.0,1.0
44922.2679729,261589.265625,268231.5,277887.4375,262982.40625,245416.265625,166627.703125,255005.515625,228600.6875,-0.216064453125,0.94482421875,-0.1748046875,-0.4272460639476776,-1.0070799589157104,0.1525878757238388,80.0,836623.0,1.0
44922.2680183,262373.1875,270268.90625,279397.1875,265386.84375,247153.359375,167539.03125,255360.921875,230050.0625,-0.214111328125,0.943359375,-0.17919921875,-0.4272460639476776,-0.9765624403953552,0.1831054538488388,80.0,836624.0,1.0
44922.2922322,262398.125,270342.40625,279560.96875,265888.9375,247238.921875,167602.78125,255263.546875,230467.78125,-0.214111328125,0.943359375,-0.176513671875,-0.3967284858226776,-0.9765624403953552,0.0915527269244194,80.0,836625.0,1.0
44922.2996411,261604.921875,268303.75,278112.65625,263720.09375,245496.90625,166696.90625,254826.265625,229218.140625,-0.215576171875,0.94287109375,-0.179931640625,-0.3356933295726776,-1.0070799589157104,0.3356933295726776,80.0,836626.0,1.0
